column_name,column_description,table_name,values
retinopathy_stage_od,Synthetic right-eye diabetic retinopathy stage.,diabetic_retinopathy,"['None', 'Mild NPDR', 'Moderate NPDR', 'Severe NPDR', 'PDR']"
retinopathy_stage_os,Synthetic left-eye diabetic retinopathy stage.,diabetic_retinopathy,"['None', 'Mild NPDR', 'Moderate NPDR', 'Severe NPDR', 'PDR']"
macular_edema_status_od,Synthetic right-eye diabetic macular edema status.,diabetic_retinopathy,"['Absent', 'Non-center-involving', 'Center-involving']"
macular_edema_status_os,Synthetic left-eye diabetic macular edema status.,diabetic_retinopathy,"['Absent', 'Non-center-involving', 'Center-involving']"
retinal_hemorrhage_status,Synthetic retinal hemorrhage status.,diabetic_retinopathy,"['Present', 'Absent']"
microaneurysm_status,Synthetic retinal microaneurysm status.,diabetic_retinopathy,"['Present', 'Absent']"
cotton_wool_spot_status,Synthetic cotton-wool spot status.,diabetic_retinopathy,"['Present', 'Absent']"
neovascularization_status,Synthetic retinal or disc neovascularization status.,diabetic_retinopathy,"['Present', 'Absent']"
vitreous_hemorrhage_status,Synthetic vitreous hemorrhage status.,diabetic_retinopathy,"['Present', 'Absent']"
retinopathy_laterality,Synthetic laterality of diabetic retinopathy.,diabetic_retinopathy,"['None', 'Right', 'Left', 'Bilateral']"
central_subfield_thickness_od_um,Synthetic right-eye central retinal thickness in micrometers.,retinal_imaging,"['214', '276', '342', '518']"
central_subfield_thickness_os_um,Synthetic left-eye central retinal thickness in micrometers.,retinal_imaging,"['209', '284', '351', '502']"
intraretinal_fluid_od,Synthetic right-eye intraretinal fluid status.,retinal_imaging,"['Present', 'Absent']"
intraretinal_fluid_os,Synthetic left-eye intraretinal fluid status.,retinal_imaging,"['Present', 'Absent']"
subretinal_fluid_od,Synthetic right-eye subretinal fluid status.,retinal_imaging,"['Present', 'Absent']"
subretinal_fluid_os,Synthetic left-eye subretinal fluid status.,retinal_imaging,"['Present', 'Absent']"
hard_exudate_burden,Synthetic hard-exudate burden category.,retinal_imaging,"['None', 'Low', 'Moderate', 'High']"
fundus_image_gradability,Synthetic fundus photograph gradability.,retinal_imaging,"['Gradable', 'Partially gradable', 'Ungradable']"
oct_signal_strength,Synthetic optical coherence tomography signal score.,retinal_imaging,"['3', '5', '7', '9']"
imaging_device_type,Synthetic retinal imaging device category.,retinal_imaging,"['Fundus camera', 'OCT', 'Ultra-widefield', 'OCT angiography']"
anti_vegf_agent,Synthetic anti-VEGF treatment category.,ocular_treatment,"['Aflibercept', 'Bevacizumab', 'Ranibizumab', 'None']"
anti_vegf_injection_count,Synthetic cumulative intravitreal anti-VEGF injection count.,ocular_treatment,"['0', '1', '6', '18']"
focal_laser_status,Synthetic focal or grid laser treatment status.,ocular_treatment,"['Completed', 'Planned', 'Not indicated']"
panretinal_photocoagulation_status,Synthetic panretinal photocoagulation status.,ocular_treatment,"['Completed', 'Partial', 'Planned', 'Not indicated']"
intravitreal_steroid_status,Synthetic intravitreal steroid treatment status.,ocular_treatment,"['Given', 'Planned', 'Not given']"
vitrectomy_status,Synthetic pars plana vitrectomy status.,ocular_treatment,"['Completed', 'Planned', 'Not indicated']"
cataract_surgery_status,Synthetic cataract surgery status.,ocular_treatment,"['Completed', 'Planned', 'Not indicated']"
treatment_eye,Synthetic laterality of ocular treatment.,ocular_treatment,"['Right', 'Left', 'Bilateral', 'Neither']"
last_treatment_response,Synthetic response to the most recent ocular treatment.,ocular_treatment,"['Improved', 'Stable', 'Worsened', 'Not assessed']"
treatment_adverse_event,Synthetic adverse-event category after ocular treatment.,ocular_treatment,"['None', 'Inflammation', 'Pressure rise', 'Other']"
glucose_lowering_regimen,Synthetic glucose-lowering treatment regimen.,diabetes_medication,"['Lifestyle only', 'Oral agents', 'Injectable non-insulin', 'Insulin']"
metformin_use,Synthetic metformin-use indicator.,diabetes_medication,"['Yes', 'No']"
sglt2_inhibitor_use,Synthetic SGLT2 inhibitor-use indicator.,diabetes_medication,"['Yes', 'No']"
glp1_receptor_agonist_use,Synthetic GLP-1 receptor agonist-use indicator.,diabetes_medication,"['Yes', 'No']"
basal_insulin_use,Synthetic basal insulin-use indicator.,diabetes_medication,"['Yes', 'No']"
prandial_insulin_use,Synthetic mealtime insulin-use indicator.,diabetes_medication,"['Yes', 'No']"
medication_adherence_level,Synthetic diabetes medication adherence category.,diabetes_medication,"['High', 'Moderate', 'Low', 'Unknown']"
medication_change_at_visit,Synthetic indicator of diabetes medication change.,diabetes_medication,"['Yes', 'No']"
steroid_exposure_status,Synthetic systemic or ocular steroid exposure status.,diabetes_medication,"['Current', 'Past', 'Never']"
medication_review_status,Synthetic medication reconciliation status.,diabetes_medication,"['Complete', 'Incomplete', 'Not performed']"
visit_type,Synthetic ophthalmology visit category.,care_encounters,"['Screening', 'Routine follow-up', 'Urgent', 'Post-procedure']"
referral_source,Synthetic source of the ophthalmology referral.,care_encounters,"['Primary care', 'Endocrinology', 'Optometry', 'Self-referral']"
days_since_last_eye_exam,Synthetic interval since the prior eye examination.,care_encounters,"['30', '180', '365', '730']"
follow_up_interval_months,Synthetic recommended follow-up interval.,care_encounters,"['1', '3', '6', '12']"
retina_specialist_involved,Synthetic indicator of retina specialist involvement.,care_encounters,"['Yes', 'No']"
endocrinology_follow_up_status,Synthetic endocrinology follow-up status.,care_encounters,"['Active', 'Pending', 'None']"
diabetes_education_status,Synthetic diabetes education status.,care_encounters,"['Completed', 'Scheduled', 'Declined', 'Not offered']"
missed_appointment_history,Synthetic history of missed eye-care appointments.,care_encounters,"['Yes', 'No']"
urgent_return_precaution_given,Synthetic indicator that urgent return precautions were provided.,care_encounters,"['Yes', 'No']"
care_plan_status,Synthetic multidisciplinary care-plan status.,care_encounters,"['Active', 'Pending', 'Completed']"
